type,subject,grade,difficulty,language,question,statement,answers,correct_index,correct_answer,explanation,unit,image_url,tags,time_limit,created_at,updated_at
number-input,general-knowledge,6,2,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,6,4,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,2,1,fr,Choisissez la forme correcte : 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Le pluriel utilise 'are'.,,,"[""language"", ""grammar"", ""fr"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,2,5,fr,,5 + 5 est égal à 2 × 5.,,,True,"Par distributivité, c'est toujours vrai.",,,"[""math"", ""true-false"", ""fr"", ""grade-2"", ""diff-5""]",32000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,2,3,en,What is 4 × 2?,,"[""10"", ""8"", ""5"", ""12""]",1,,The correct result is 8.,,,"[""math"", ""arithmetic"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,4,1,en,How many continents are there on Earth?,,,,7,Standard model is 7.,,,"[""geography"", ""number-input"", ""en"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,2,en,"In a food chain, which is a plant?",,"[""Producer"", ""Consumer"", ""Decomposer"", ""Predator""]",0,,Plants are producers.,,,"[""general-knowledge"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,math,1,3,de,Welche Form ist auf dem Bild zu sehen?,,"[""Kreis"", ""Quadrat"", ""Dreieck"", ""Rechteck""]",0,,Erkenne die einfache geometrische Form.,,https://picsum.photos/seed/img246/400/300,"[""math"", ""image"", ""de"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,5,5,en,,There are 7 continents on Earth.,,,True,Common model counts 7 continents.,,,"[""geography"", ""true-false"", ""en"", ""grade-5"", ""diff-5""]",20000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,6,2,de,Wieviele Buchstaben hat das Wort 'giraffe' (engl.)?,,,,7,Zähle die Buchstaben des englischen Wortes.,,,"[""language"", ""spelling"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,5,3,en,What is 91 ÷ 10? (round to nearest integer),,"[""9"", ""11"", ""8"", ""10""]",0,,The correct result is 9.,,,"[""math"", ""arithmetic"", ""en"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,6,1,en,,There are 7 continents on Earth.,,,True,Common model counts 7 continents.,,,"[""geography"", ""true-false"", ""en"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,2,4,de,Wieviel sind 40% von 50?,,,,20,40% von 50 = 50×40/100 = 20.,,,"[""math"", ""number-input"", ""de"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,4,en,What is the capital of China?,,"[""Beijing"", ""Mexico City"", ""Cairo"", ""Kyiv""]",0,,The capital of China is Beijing.,,,"[""geography"", ""capitals"", ""en"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,2,1,en,,76 is an odd number.,,,False,Odd numbers are not divisible by 2.,,,"[""math"", ""true-false"", ""en"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,1,de,Auf welchem Kontinent liegt Brazil?,,"[""Europe"", ""South America"", ""Africa"", ""Asia""]",1,,Brazil liegt in South America.,,,"[""geography"", ""continents"", ""de"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,6,2,de,Welcher Planet ist als der Rote Planet bekannt?,,"[""Mars"", ""Jupiter"", ""Venus"", ""Merkur""]",0,,Mars heißt der Rote Planet wegen Eisenoxid (Rost) auf der Oberfläche.,,,"[""general-knowledge"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,4,2,de,,Im Englischen beginnt ein Satz mit einem Großbuchstaben.,,,True,Das ist eine Standardregel der Grammatik.,,,"[""language"", ""true-false"", ""de"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,5,2,de,Wie heißt die Hauptstadt von Germany?,,"[""Belgrade"", ""Bras\u00edlia"", ""New Delhi"", ""Berlin""]",3,,Die Hauptstadt von Germany ist Berlin.,,,"[""geography"", ""capitals"", ""de"", ""grade-5"", ""diff-2""]",11000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,2,5,en,What is 42 + 838?,,,,880,42+838=880.,,,"[""math"", ""number-input"", ""en"", ""grade-2"", ""diff-5""]",32000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,6,2,fr,,"En anglais, une phrase commence par une majuscule.",,,True,Règle grammaticale standard.,,,"[""language"", ""true-false"", ""fr"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,4,en,What is the capital of Italy?,,"[""Rome"", ""Brussels"", ""Kyiv"", ""Mexico City""]",0,,The capital of Italy is Rome.,,,"[""geography"", ""capitals"", ""en"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,5,2,fr,,16 + 20 est supérieur à 16 × 20.,,,False,Comparez la somme et le produit.,,,"[""math"", ""true-false"", ""fr"", ""grade-5"", ""diff-2""]",11000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,3,2,de,Wie viele Tage hat ein Schaltjahr?,,,,366,Schaltjahre haben 366 Tage.,,,"[""general-knowledge"", ""number-input"", ""de"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,2,3,fr,,Il y a 7 continents sur Terre.,,,True,Le modèle courant compte 7 continents.,,,"[""geography"", ""true-false"", ""fr"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,4,4,fr,,"Au niveau de la mer, l'eau bout à 100°C.",,,True,Le point d'ébullition de l'eau au niveau de la mer est 100°C.,,,"[""general-knowledge"", ""true-false"", ""fr"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,4,en,What is the capital of Netherlands?,,"[""Amsterdam"", ""Oslo"", ""Bras\u00edlia"", ""Belgrade""]",0,,The capital of Netherlands is Amsterdam.,,,"[""geography"", ""capitals"", ""en"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,2,1,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",3,,Identify the basic geometric shape.,,https://picsum.photos/seed/img266/400/300,"[""geography"", ""image"", ""en"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,2,2,fr,Combien font 904 + 84 ?,,,,988,904+84=988.,,,"[""math"", ""number-input"", ""fr"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,4,3,fr,Choisissez la forme correcte : 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Le pluriel utilise 'are'.,,,"[""language"", ""grammar"", ""fr"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,2,4,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,4,1,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",2,,Identify the basic geometric shape.,,https://picsum.photos/seed/img270/400/300,"[""geography"", ""image"", ""en"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,3,2,de,Wie hoch (in Metern) ist der Eiffelturm ungefähr? (auf ganze Zahl),,,,324,Der Eiffelturm ist ca. 324 m hoch.,m,,"[""geography"", ""number-input"", ""de"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,2,de,Was ist der Plural von 'mouse' auf Englisch?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' ist ein unregelmäßiger Plural.,,,"[""language"", ""grammar"", ""de"", ""grade-5"", ""diff-2""]",11000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,2,1,de,Wie heißt die Hauptstadt von Egypt?,,"[""Oslo"", ""Kyiv"", ""Cairo"", ""Dublin""]",2,,Die Hauptstadt von Egypt ist Cairo.,,,"[""geography"", ""capitals"", ""de"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,4,3,de,In einer Nahrungskette: Was ist eine Pflanze?,,"[""Produzent"", ""Konsument"", ""Zersetzer"", ""R\u00e4uber""]",0,,Pflanzen sind Produzenten.,,,"[""general-knowledge"", ""de"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,5,3,de,Wie hoch (in Metern) ist der Eiffelturm ungefähr? (auf ganze Zahl),,,,324,Der Eiffelturm ist ca. 324 m hoch.,m,,"[""geography"", ""number-input"", ""de"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,3,de,Wähle den richtigen Artikel: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' beginnt mit Vokal → 'an'.,,,"[""language"", ""grammar"", ""de"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,1,4,fr,Quelle forme est montrée sur l'image ?,,"[""Cercle"", ""Carr\u00e9"", ""Triangle"", ""Rectangle""]",0,,Identifiez la forme géométrique simple.,,https://picsum.photos/seed/img277/400/300,"[""geography"", ""image"", ""fr"", ""grade-1"", ""diff-4""]",30600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,5,1,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,5,de,Wie viel ist 5 ÷ 2? (auf ganze Zahl runden),,"[""3"", ""4"", ""1"", ""2""]",3,,Das richtige Ergebnis ist 2.,,,"[""math"", ""arithmetic"", ""de"", ""grade-6"", ""diff-5""]",16000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,1,4,fr,,6 + 6 est égal à 2 × 6.,,,True,"Par distributivité, c'est toujours vrai.",,,"[""math"", ""true-false"", ""fr"", ""grade-1"", ""diff-4""]",30600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,4,2,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,3,en,On which continent is Netherlands?,,"[""Europe"", ""South America"", ""Africa"", ""Asia""]",0,,Netherlands is in Europe.,,,"[""geography"", ""continents"", ""en"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,5,1,de,Auf welchem Kontinent liegt Albania?,,"[""Oceania"", ""Europe"", ""South America"", ""Africa""]",1,,Albania liegt in Europe.,,,"[""geography"", ""continents"", ""de"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,2,3,de,Wie hoch ist die normale Körpertemperatur (°C)?,,"[""36,5\u201337,5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,"Der Normalbereich liegt bei ca. 36,5–37,5°C.",,,"[""general-knowledge"", ""de"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,6,3,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,4,3,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,3,4,de,Wieviele Buchstaben hat das Wort 'elephant' (engl.)?,,,,8,Zähle die Buchstaben des englischen Wortes.,,,"[""language"", ""spelling"", ""de"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,3,4,en,,"At sea level, water boils at 100°C.",,,True,Boiling point of water at sea level is 100°C.,,,"[""general-knowledge"", ""true-false"", ""en"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,3,4,fr,Quel est le pluriel de 'mouse' en anglais ?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' est un pluriel irrégulier.,,,"[""language"", ""grammar"", ""fr"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,2,3,de,,Im Englischen beginnt ein Satz mit einem Großbuchstaben.,,,True,Das ist eine Standardregel der Grammatik.,,,"[""language"", ""true-false"", ""de"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,4,de,Wie viel ist 5 × 3?,,"[""19"", ""16"", ""12"", ""15""]",3,,Das richtige Ergebnis ist 15.,,,"[""math"", ""arithmetic"", ""de"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,1,2,en,A rectangle has width 26cm and height 10cm. What is its area?,,,,260,Area = 26×10=260 cm².,cm^2,,"[""math"", ""number-input"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,3,en,What is 2 + 6?,,"[""10"", ""9"", ""8"", ""7""]",2,,The correct result is 8.,,,"[""math"", ""arithmetic"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,1,2,fr,,"En anglais, une phrase commence par une majuscule.",,,True,Règle grammaticale standard.,,,"[""language"", ""true-false"", ""fr"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,6,2,de,Wieviele Buchstaben hat das Wort 'computer' (engl.)?,,,,8,Zähle die Buchstaben des englischen Wortes.,,,"[""language"", ""spelling"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,2,3,en,What is the capital of USA?,,"[""Zagreb"", ""Kyiv"", ""Budapest"", ""Washington, D.C.""]",3,,"The capital of USA is Washington, D.C..",,,"[""geography"", ""capitals"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,1,de,Wie viel ist 9 + 20?,,"[""29"", ""31"", ""30"", ""28""]",0,,Das richtige Ergebnis ist 29.,,,"[""math"", ""arithmetic"", ""de"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,3,2,fr,Combien y a-t-il de continents sur Terre ?,,,,7,Le modèle standard en compte 7.,,,"[""geography"", ""number-input"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,1,de,Wie heißt die Hauptstadt von Serbia?,,"[""Dublin"", ""Cairo"", ""Belgrade"", ""Beijing""]",2,,Die Hauptstadt von Serbia ist Belgrade.,,,"[""geography"", ""capitals"", ""de"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,1,en,Choose the correct article: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' starts with a vowel sound → 'an'.,,,"[""language"", ""grammar"", ""en"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,5,en,What is the plural of 'mouse'?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' is an irregular plural.,,,"[""language"", ""grammar"", ""en"", ""grade-5"", ""diff-5""]",20000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,4,de,Wie viel ist 107 ÷ 12? (auf ganze Zahl runden),,"[""9"", ""10"", ""8"", ""11""]",0,,Das richtige Ergebnis ist 9.,,,"[""math"", ""arithmetic"", ""de"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,1,5,fr,,"En anglais, une phrase commence par une majuscule.",,,True,Règle grammaticale standard.,,,"[""language"", ""true-false"", ""fr"", ""grade-1"", ""diff-5""]",36000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,6,3,de,Wie heißt die Hauptstadt von Kosovo?,,"[""New Delhi"", ""Pristina"", ""Vienna"", ""Bern""]",1,,Die Hauptstadt von Kosovo ist Pristina.,,,"[""geography"", ""capitals"", ""de"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,4,3,de,Wähle die richtige Form: 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Plural verwendet 'are'.,,,"[""language"", ""grammar"", ""de"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,2,3,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",3,,Identify the basic geometric shape.,,https://picsum.photos/seed/img306/400/300,"[""geography"", ""image"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,5,1,de,Auf welchem Kontinent liegt Brazil?,,"[""Asia"", ""Europe"", ""South America"", ""Africa""]",2,,Brazil liegt in South America.,,,"[""geography"", ""continents"", ""de"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,2,fr,Combien font 29 + 47 ?,,"[""78"", ""75"", ""77"", ""76""]",3,,Le résultat correct est 76.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,3,en,Choose the correct article: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' starts with a vowel sound → 'an'.,,,"[""language"", ""grammar"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,3,3,fr,Combien de jours y a-t-il dans une année bissextile ?,,,,366,Les années bissextiles ont 366 jours.,,,"[""general-knowledge"", ""number-input"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,5,3,de,Wie heißt die Hauptstadt von USA?,,"[""Moscow"", ""Berlin"", ""Copenhagen"", ""Washington, D.C.""]",3,,"Die Hauptstadt von USA ist Washington, D.C..",,,"[""geography"", ""capitals"", ""de"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,4,en,What is the plural of 'mouse'?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' is an irregular plural.,,,"[""language"", ""grammar"", ""en"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,3,1,de,,Im Englischen beginnt ein Satz mit einem Großbuchstaben.,,,True,Das ist eine Standardregel der Grammatik.,,,"[""language"", ""true-false"", ""de"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,2,de,Wähle die richtige Form: 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Plural verwendet 'are'.,,,"[""language"", ""grammar"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,6,3,en,,There are 7 continents on Earth.,,,True,Common model counts 7 continents.,,,"[""geography"", ""true-false"", ""en"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,1,1,de,Wie viel ist 254 + 322?,,,,576,254+322=576.,,,"[""math"", ""number-input"", ""de"", ""grade-1"", ""diff-1""]",14400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,3,en,What is the capital of USA?,,"[""Washington, D.C."", ""Helsinki"", ""New Delhi"", ""Beijing""]",0,,"The capital of USA is Washington, D.C..",,,"[""geography"", ""capitals"", ""en"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,3,1,en,,1 + 32 is greater than 1 × 32.,,,True,Compare sum vs product to decide.,,,"[""math"", ""true-false"", ""en"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,3,fr,Quelle est la température corporelle normale (°C) ?,,"[""36,5\u201337,5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,"Plage normale ~36,5–37,5°C.",,,"[""general-knowledge"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,2,3,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,2,2,en,What is 40% of 120?,,,,48,40% of 120 = 120×40/100 = 48.,,,"[""math"", ""number-input"", ""en"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,4,2,de,Wie hoch (in Metern) ist der Eiffelturm ungefähr? (auf ganze Zahl),,,,324,Der Eiffelturm ist ca. 324 m hoch.,m,,"[""geography"", ""number-input"", ""de"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,3,2,fr,,"En anglais, une phrase commence par une majuscule.",,,True,Règle grammaticale standard.,,,"[""language"", ""true-false"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,2,4,de,Was ist der Plural von 'mouse' auf Englisch?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' ist ein unregelmäßiger Plural.,,,"[""language"", ""grammar"", ""de"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,5,fr,Sur quel continent se trouve Belgium ?,,"[""South America"", ""Asia"", ""Antarctica"", ""Europe""]",3,,Belgium se trouve en Europe.,,,"[""geography"", ""continents"", ""fr"", ""grade-3"", ""diff-5""]",28000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,4,3,fr,Combien de jours y a-t-il dans une année bissextile ?,,,,366,Les années bissextiles ont 366 jours.,,,"[""general-knowledge"", ""number-input"", ""fr"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,2,3,fr,,19 est un nombre pair.,,,False,Les nombres pairs sont divisibles par 2.,,,"[""math"", ""true-false"", ""fr"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,language,6,4,fr,Quelle forme est montrée sur l'image ?,,"[""Cercle"", ""Carr\u00e9"", ""Triangle"", ""Rectangle""]",1,,Identifiez la forme géométrique simple.,,https://picsum.photos/seed/img328/400/300,"[""language"", ""image"", ""fr"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,5,3,fr,Choisissez la forme correcte : 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Le pluriel utilise 'are'.,,,"[""language"", ""grammar"", ""fr"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,3,1,de,Was ist der Plural von 'mouse' auf Englisch?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' ist ein unregelmäßiger Plural.,,,"[""language"", ""grammar"", ""de"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,3,de,Wähle die richtige Form: 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Plural verwendet 'are'.,,,"[""language"", ""grammar"", ""de"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
